month,trip_count,temperature,temperature_change_since_prev_day
4,20854,17,7
4,10508,5,-3
4,13992,5,-3
4,12852,5,-2
4,16205,14,6
4,17323,15,6
4,14323,16,6
4,11384,12,7
4,16496,10,5
4,18242,11,6
4,12781,19,5
4,13407,20,5
4,13063,22,7
4,11305,14,2
4,15421,13,3
4,16102,13,3
4,17138,20,1
4,19214,20,0
4,17231,21,-2
4,10610,14,0
4,14681,14,1
4,14823,14,1
4,18276,25,5
4,20772,25,5
4,21387,24,4
4,9034,5,-2
4,12318,5,-1
4,11859,4,-1
4,15427,10,1
4,16590,9,0
4,15345,8,-2
4,11181,7,2
4,15536,7,2
4,14537,4,-1
4,17951,8,-2
4,20528,9,-0
4,17560,9,1
4,11034,6,-2
4,15428,6,-2
4,14648,7,3
4,17997,14,6
4,20096,14,6
4,17702,15,6
4,10669,7,2
4,14829,8,2
4,14108,7,0
4,19665,15,1
4,21847,13,-1
4,18683,13,-2
4,8685,13,6
4,12242,12,4
4,12310,12,5
4,20105,21,6
4,21925,19,6
4,21432,21,8
4,9900,8,-3
4,14046,8,-3
4,12771,8,-3
4,15862,14,-2
4,17460,14,-2
4,13755,14,-2
4,11415,12,3
4,16172,12,3
4,15018,12,3
4,19197,14,-0
4,22372,14,-0
4,18738,14,0
4,11246,10,-2
4,15519,9,-2
4,15410,9,-3
4,18914,11,-3
4,22243,12,-2
4,20572,12,-2
4,10454,5,-5
4,14416,5,-4
4,15637,4,-4
4,18581,12,1
4,21512,13,1
4,19615,14,2
4,9083,6,1
4,12987,6,1
4,13251,5,1
4,18929,15,3
4,21670,16,3
4,21619,17,3
5,9310,13,4
5,12700,12,3
5,13046,12,2
5,15395,12,-8
5,17024,12,-8
5,14004,12,-7
5,10182,11,-2
5,14286,11,-1
5,14368,11,-1
5,18013,16,4
5,20204,17,4
5,17136,16,4
5,11798,10,-1
5,16084,10,-1
5,17755,10,-1
5,18823,14,-2
5,21296,14,-2
5,18550,17,1
5,10413,14,4
5,14468,14,4
5,14847,13,3
5,19115,22,8
5,23043,22,7
5,20817,23,6
5,9564,15,1
5,13773,15,1
5,15422,15,2
5,19594,14,-8
5,23635,13,-8
5,25923,12,-11
5,9978,8,1
5,13387,8,1
5,12175,8,1
5,15836,20,6
5,17627,20,6
5,14529,21,6
5,10538,11,3
5,14352,12,3
5,14082,12,3
5,18116,21,1
5,20878,22,2
5,17631,22,1
5,11080,12,1
5,15328,12,0
5,14913,12,0
5,18284,22,1
5,21462,23,1
5,18845,23,1
5,10640,15,3
5,14626,16,3
5,14735,16,3
5,18567,23,2
5,22597,23,0
5,20350,23,0
5,9269,16,1
5,12689,14,-1
5,12999,14,-1
5,18156,22,-2
5,22063,21,-2
5,24290,21,-2
5,9934,19,4
5,13389,19,3
5,13463,20,3
5,18702,19,-3
5,23226,21,-4
5,20022,22,-2
5,10693,14,-5
5,14246,14,-5
5,14915,14,-6
5,16496,23,3
5,19345,24,4
5,18828,24,2
5,10775,14,-0
5,14385,13,-1
5,15676,13,-1
5,16080,21,-2
5,19164,21,-3
5,19502,22,-2
5,11347,13,-1
5,14999,13,0
5,17332,13,-0
5,17229,14,-6
5,20246,16,-5
5,20491,18,-4
5,8985,13,0
5,12384,14,1
5,12649,13,0
5,18773,18,3
5,22406,19,3
5,22512,19,2
5,9389,18,-7
5,12423,17,-7
5,12189,17,-7
5,15493,22,-9
5,17754,22,-9
5,15463,22,-8
5,10737,16,-2
5,14487,16,-2
5,14488,16,-1
5,17457,19,-3
5,20190,19,-3
5,17861,19,-3
5,10905,12,-4
5,14839,13,-3
5,14705,12,-4
5,16231,21,2
5,19307,20,1
5,18437,19,0
5,10146,13,1
5,13697,12,-1
5,13821,12,0
5,16731,21,0
5,19254,21,1
5,17569,19,0
5,8126,18,6
5,10328,18,6
5,10958,19,7
5,19219,27,6
5,17291,25,4
5,16363,24,5
5,9791,24,6
5,13685,24,6
5,13541,24,7
6,11045,16,-8
6,15085,16,-8
6,14539,16,-9
6,19937,22,-11
6,20718,20,-13
6,20341,19,-13
6,10853,17,1
6,14552,17,2
6,14898,17,2
6,20882,26,4
6,21569,25,5
6,18048,26,6
6,9143,18,1
6,12278,17,0
6,12188,17,0
6,17650,23,-3
6,20354,24,-1
6,21105,23,-3
6,9500,18,1
6,13234,18,3
6,12519,18,3
6,16799,26,3
6,18629,27,2
6,15051,26,3
6,11167,18,0
6,15515,17,-1
6,15091,17,-1
6,20029,25,-1
6,23459,23,-3
6,19710,23,-3
6,11327,20,2
6,15677,20,3
6,15708,20,3
6,18645,27,2
